#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5, 8.0000000000000, 0.0000000000000, 0.0000000000000, 0.0000000000000, 0.0000000000000
10, 18.0000000000000, 0.0000000000000, 0.0000000000000, 0.5299999713898, 0.0000000000000
15, 28.0000000000000, 0.0000000000000, 0.0000000000000, 3.6800000667572, 0.0000000000000
20, 38.0000000000000, 0.0000000000000, 0.0000000000000, 10.5500001907349, 0.0000000000000
25, 48.0000000000000, 0.0000000000000, 0.0000000000000, 19.6000003814697, 1.3100000619888
30, 58.0000000000000, 0.0000000000000, 0.0000000000000, 31.7600021362305, 2.1700000762939
35, 68.0000000000000, 0.0000000000000, 0.0000000000000, 45.8400001525879, 2.0899999141693
40, 78.0000000000000, 0.0000000000000, 0.0000000000000, 62.0400009155273, 2.0399999618530
45, 88.0000000000000, 0.0000000000000, 0.0000000000000, 79.5000000000000, 2.0000000000000
50, 99.5000000000000, 99.5000000000000, 99.5000000000000, 98.0299987792969, 99.5000000000000
55, 99.5000000000000, 99.5000000000000, 99.5000000000000, 98.8899993896484, 99.5000000000000
60, 99.5000000000000, 99.5000000000000, 99.5000000000000, 98.9899978637695, 99.5000000000000
65, 99.5000000000000, 99.5000000000000, 99.5000000000000, 98.9300003051758, 99.5000000000000
70, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.2299957275391, 99.5000000000000
75, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.1299972534180, 99.5000000000000
80, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.0999984741211, 99.5000000000000
85, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.2299957275391, 99.5000000000000
90, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.3099975585938, 99.5000000000000
95, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.2099990844727, 99.5000000000000
100, 99.5000000000000, 99.5000000000000, 99.5000000000000, 99.3499984741211, 99.5000000000000
